Right,1,Right,1.76,,
Forward,1,Forward,1.73,,
Roll Left,1,Roll Left,2.59,,
Pitch Down,1,Pitch Down,1.9,,
Left,1,Left,1.33,,
Backward,1,Backward,1.65,,
Down,1,Down,0.99,,
Up,1,Up,1.32,,
Roll Right,1,Roll Right,0.97,,
Pitch Up,1,Pitch Up,1.55,,
Yaw Left,1,Yaw Left,1.02,,
Yaw Right,1,Yaw Right,2.72,,
